CAS number	chemical name	name IUPAC	merck index ref	literature ref	patent date	Launched date	FDA approved	code ATC	solubility	Additional info type	Additional info detail	blood brain barrier	administration	absorption tissue	protein binding	metabolism tissue	metabolism metabolite	daily dose	side effect name	target type	target name	therapeutic class name	therapeutic effect name	Structure [idcode]	Synonyms	T max	protein binding rate	bioavailability	half life time	absorption rate	distribution volume	Smiles	
134-58-7	Azaguanine-8	5-Amino-3H-[1,2,3]triazolo[4,5-d]pyrimidin-7-ol	MI, 12, 928	Cancer Res. 1975 Oct 35(10):2872-8	08.09.1964			Not yet attributed	DMSO	Pharmacological tool												Oncology	Antineoplastic	dmMh@DkaePRYYe[iUjefh@@ !Bg}HS_}k|_FozMwwp_YNgGvT								NC(NC1=O)=Nc2c1nn[nH]2	
57-67-0	Sulfaguanidine	4-amino-N-[amino(imino)methyl]benzenesulfonamide	MI, 13, 8993	Contact Dermatitis. 2002 Mar 46(3):186-7	23.05.1950			A07AB03	DMSO	Chemical classification (according ATC code)	Sulfonamide		Oral					4000	Diarrhoea, Hepatic enzyme levels elevated, Hypersensitivity reactions, Nausea, Nephrotoxicity, Photosensitization			Infectiology, Metabolism	Antibacterial	dg\d`LF[a@BLddJbbQvfmPLA@@@ !BZn@oLcvOpKemh_ELRCrCtOpKg@n^SDpKd								NC(NS(c(cc1)ccc1N)(=O)=O)=N	
31430-18-9	Nocodazole	Methyl (5-(2-thienylcarbonyl)-1H-benz-imidazole-2-YL-carbamate		Mol Cancer Ther. 2011 Oct 10(10):1886-96	10.06.1983			Not yet attributed	DMSO 10mg/mL										Diarrhoea, Skin dryness			Oncology	Antineoplastic	fj}qb@C^BqNPAFRJIRqISIYSDijsoUJpACTuD@@ !BYi|}c@m]wvmSryFAppKUE@VNrX[BCYDTB|JCAr`B{lirvO@Bylip								COC(Nc1nc(cc(cc2)C(c3cccs3)=O)c2[nH]1)=O	
992-21-2	Lymecycline	(+)-N-(5-amino-5-carboxypentylaminomethyl)-4-dimethylamino-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxonaphtacene-2-carboxamide	MI, 13, 5648	Eur J Dermatol. 2003 Mar-Apr 13(2):130-5	24.02.1982	1992		J01AA04 		Chemical classification (according ATC code)	Tetracycline		Oral					600	Blurred vision, Diarrhoea, Headache, Hypersensitivity reactions, Intracranial hypertension, Nausea, Photosensitization			Metabolism	Antibacterial	emWRE@@EkhUPAC@djmcjV\bbbbbbbvfd|VbRbaJTTQRxtT|\JzFZAhJhjiijZjjZjbjNJMBKBBjNj@@ !B@S~Ho]^}b@I~O}]|oc~~@Ha}bGwWoWx@M{wWoWx|Ew~O~x@epH~Ox@uwwWoW{_MpI~O}]}_`CWo]]}bGwW@m]}upI~@M]}MpJH@c\Bu{wW@m]}		3 - 4			8 - 10			C[C@@]([C@H](C[C@H]([C@H](C(O)=C(C(NCNC(CCCCN)C(O)=O)=O)C1=O)N(C)C)[C@@]11O)C2=C1O)(c1cccc(O)c1C2=O)O	
23930-37-2	Alfadolone acetate	[2-[(3R,5S,8S,9S,10S,13S,14S,17S)-3-hydroxy-10,13-dimethyl-11-oxo-1,2,3,4,5,6,7,8,9,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate	MI, 13, 231	Anesthesiology. 1979 Apr 50(4):350-2	09.09.1987	Phase I		Not yet attributed														Central Nervous System	Anesthetic	fcAP@@UzM^QQQJQQQQ[SV[YQbm^BVNVjjjjjjZijhRDQTSIqJahV@@ !BpvTATpLZ_FVCQPOE`YM|VozL`qjALpNZ@Xq|YPNe_JU@_zL`rV|VmpZ`~h|Y\MeP~i~cLMe								C[C@](C1)([C@@H](CC2)[C@H](CC[C@@H](C3)[C@]4(C)CC[C@H]3O)[C@@H]4C1=O)[C@H]2C(COC(C)=O)=O	
23930-19-0	Alfaxalone	(3R,5S,8S,9S,10S,13S,14S,17S)-17-acetyl-3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-11-one	MI, 13, 233	Mol Pharmacol. 1980 Jul 18(1):144-7	09.09.1987			N01AX05		Therapeutic classification (according ATC code)	General anesthetic								Arrhythmia, Bradycardia, Dyspnea, Hypoxia, Seizure, Vomiting			Central Nervous System	Anesthetic	fa{A`@@U{dTTRdTTTVtufXkW`ecejjjjjjfjhRDQTSIqJahV@@ !B`zTAdpMZBW}IWte@YO|vhELYhAdpMZds|i_teBU@_yL\U|VcrZ`qj|iP								C[C@](C1)([C@@H](CC2)[C@H](CC[C@@H](C3)[C@]4(C)CC[C@H]3O)[C@@H]4C1=O)[C@H]2C(C)=O	
13539-59-8	Azapropazone	5-(dimethylamino)-9-methyl-2-propylpyrazolo[1,2-a][1,2,4]benzotriazine-1,3-dione	MI, 13, 733	Curr Med Res Opin. 1976 4(1):3-16	24.10.1967	1970		M01AX04		Therapeutic classification (according ATC code)	NSAID		Oral	GI tract				750	Depression, Dizziness, Drowsiness, Epigastric misery, Haematuria, Headache, Hypersensitivity reactions, Insomnia, Photosensitization, Tinnitus			Central Nervous System, Metabolism	Analgesic, Anti-inflammatory	ffcH`@DDdhFlbbbbTRTtrUQFRmdkUULpU@UDLT@@ !BPL[xRsJPBGs~_pCQoXbHo_B}u{uTAC~og|HGxur}bH`}bGvH_Ha|								CCCC(C(N1N2C(N(C)C)=Nc3c1cc(C)cc3)=O)C2=O	
59263-76-2	Meptazinol hydrochloride	3-(3-ethyl-1-methylazepan-3-yl)phenol hydrochloride	MI, 13, 5888	Drugs. 1985 Oct 30(4):285-312	09.04.1970	1983		N02AX05		Chemical classification (according ATC code)	Opioid							1200	Constipation, Diarrhoea, Dizziness, Drowsiness, Epigastric misery, Headache, Nausea, Rash, Sweat			Central Nervous System	Analgesic	fdiaB@CPADXDhdhYDdhf\}F@BjjjJ@j@@ !B]_vXsEAulPCXSIaLlTAPC\X`]Olm}{Ab@KxWcCM_`ALv@		0.4 - 1						CCC1(CN(C)CCCC1)c1cccc(O)c1.Cl	
37321-09-8	Apramycin	(2R,3R,4R,5S,6R)-5-amino-2- [((1R,2R,3R,4R,6R,8R)-8-amino-9- [(1R,2S,3R,4R,6R)-4,6-diamino-2,3- dihydroxy-cyclohexyl]oxy-2-hydroxy- 3-methylamino-5,10- dioxabicyclo[4.4.0]dec-4-yl)oxy]-6- (hydroxymethyl)oxane-3,4-diol	MI, 13, 757	Vet Q. 2001 Apr 23(2):62-6	08.04.1975	1980		QJ01GB90		Veterinary use, Veterinary use, Veterinary use	Cattle, Rabbit, Swine		Oral	GI tract					Hypersensitivity reactions			Infectiology, Metabolism	Antibacterial	ejQZM@@AOLelPLECHfnmgdR\dTTRbbTltTRtnTrbfRXdLBJF~Ajjjjjjjjjjjjj`hD`bEPfEqMEXgHeAiMCe]OdB`@ !BgLk}J`@}ogS}I[ytxHsX]otjOmLCjotj[DVA}OveOgP^d}srt{s\BcyS\klaPEtOgS\BipjRh~]OveOgS}risJ\h~]Myt						0 - 5		CN[C@@H]([C@H]1O)C(O[C@H]([C@@H]([C@H]2O)O)O[C@H](CO)[C@H]2N)O[C@@H](C[C@H]2N)[C@@H]1O[C@@H]2O[C@H]([C@H](C[C@H]([C@@H]1O)N)N)[C@@H]1O	
2105-43-3	Fursultiamine Hydrochloride	N-(4-Amino-2-methylpyrimidin-5-ylmethyl)-N-[4-hydroxy-1-methyl-2-[(tetrahydrofurfuryl)dithio]-1-butenyl]formamide monohydrochloride	MI, 13, 4332	Med Sci Monit. 2004 Sep 10(9):RA199-203	11.10.1966			Not yet attributed														Metabolism	Anti-Alzheimer	fm{Ic@AMzOWd`bHAB@c@heDheELddxhdPqGNijjjjXBBbGJHX` !BITuW@dc|U{uHoWz@UpIH@g{_upIgpxU`_hAHoU^}axs_ge_|bOsHo_x@R@I~wt`Bo`AH@								C/C(/N(Cc1c(N)nc(C)nc1)C=O)=C(/CCO)\SSCC1OCCC1.Cl	
