Structure [idcode]	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	Smiles	
el^^D@@DMCJfcg`MlbbbTRTjbRTTrNTrbRDdl\RjFfaQZkjfjiA`Ih@I``HP@	Acalabrutinib	4.63	14.51	non-CNS	465.516	2.6784	-7.187	2.6767	9	2	362.43	0.3404	0.94206	35	450 <= x < 475	CC#CC(N(CCC1)[C@@H]1c1nc(-c(cc2)ccc2C(Nc2ncccc2)=O)c2n1ccnc2N)=O	
ec_XD`@@PLAEMG@dbfaecojYU]\dTTRbRfVbfffRftvJbTTrUDbWVusOMUUUUUUUUUUUMUUU@@@	Acarbose	7.03		non-CNS	645.605	-7.1771	0.586	-7.3319	19	14	419.26	0.54586	0.97272	44	625 <= x < 650	CC(C(C(C1O)O)NC(C(C2O)O)C=C(CO)C2O)OC1OC(C(CO)OC(C1O)OC(C(CO)OC(C2O)O)C2O)C1O	
dmvD@DATf^Uqej@B@@	Acetaminophen			CNS	151.164	1.0176	-1.662	1.0139	3	2	121.08	0.43027	0.58889	11	150 <= x < 175	CC(Nc(cc1)ccc1O)=O	
ek`\DH@NBidc`@cIEEEDdellhcDedjNIKMGAij@H@`jZjjjB@@@	Acetophenazine	7.78		CNS	411.568	3.4301	-4.111	2.6791	5	1	314.61	0.47543	0.84594	29	400 <= x < 425	CC(c(cc1)cc2c1Sc(cccc1)c1N2CCCN1CCN(CCO)CC1)=O	
ehZXBDHBfMCE`@bPHJgIEEiCEDlXhddTdhdlJKGBjbfo`ZYjejjjjj`@fbCr`@	Aciclovir			non-CNS	484.659	0.9982	-4.201	0.99771	5	1	353.13	0.45125	0.88374	33	475 <= x < 500	OC(C(OC1C(CC2)CC[N+]2(CCCOc2ccccc2)C1)=O)(c1cccs1)c1cccs1	
f`qi`@DTxIPC^rJIQQJiILyISUKMUU@@@	Aclidinium			non-CNS	225.207	-1.3295	-1.272	-1.3303	8	3	166.05	0.43428	0.77117	16	225 <= x < 250	NC(NC1=O)=Nc2c1ncn2COCCO	
eobPL@@@DBdfyVuvUmiUyxDtLbRVNvnv^Z@@@`@jjjj@j@@@	Adapalene		3.99	non-CNS	412.527	6.0586	-8.047	2.6477	3	1	303.95	0.32088	0.85194	31	400 <= x < 425	COc(cc1)c(C2(CC(C3)C4)CC4CC3C2)cc1-c1ccc(cc(cc2)C(O)=O)c2c1	
dev`@@rfeJY{ZxYBBJD@@	Adenine			non-CNS	135.130	-0.347	-2.269	-0.3506	5	2	102.23	0	0.78637	10	125 <= x < 150	Nc1ncnc2c1[nH]cn2	
fnsir@CASUlDXIqU`^FRRXjIQYSQIYRuEIZmUUUU@`U@@@	Adenosine monophosphate		1.22	non-CNS	347.223	-5.1538	-0.745	-11.327	12	5	221.29	0.45091	0.88579	23	325 <= x < 350	Nc1c2ncn(C(C3O)OC(COP(O)(O)=O)C3O)c2ncn1	
eohZKL@BaekghDLBNAIEMCODj`OBcpX|LddrtbdsTRbrfbRrbrfVNnZjZZjjjhDBh@@@	Adenosine triphosphate		0.89	non-CNS	507.181	-10.069	1.407	-14.939	18	7	301.53	0.61831	0.90348	31	500 <= x < 525	Nc1c2ncn(C(C3O)OC(COP(O)(OP(O)(OP(O)(O)=O)=O)=O)C3O)c2ncn1	
fighB@AJSehHcHhdihdhideE]J\tzMTy`BFhJAXjH`@@	Adinazolam	6.27		CNS	351.840	1.8985	-5.066	1.8261	5	0	266.73	0.30653	0.88256	25	350 <= x < 375	CN(C)Cc1nnc2n1-c(ccc(Cl)c1)c1C(c1ccccc1)=NC2	
fawP`@DVAgHhhhhieLXdmdrSEZ\{pTm{UUUUUU@ET@@@	Ajmaline			non-CNS	326.438	1.791	-3.484	1.5804	4	2	215.27	0.22288	1.0395	24	325 <= x < 350	CCC(C(CC1N2C3CC45c(cccc6)c6N(C)C14)C3C5O)C2O	
fcAR@GUGOXHcHhheEDhhhdkLcJsdoASdmUUTuUTuKUUJDPbRdxaRRCDh@	Alclometasone		12.45	non-CNS	408.920	1.6957	-3.445	1.6957	5	3	278.73	0.20621	1.017	28	400 <= x < 425	C[C@H](C[C@@H]([C@H]([C@@H](C1)Cl)[C@H]2[C@@](C)(C=C3)C1=CC3=O)[C@]1(C)C[C@@H]2O)[C@@]1(C(CO)=O)O	
fk@`@@RrJJISHjJIRKVKIQ``ibVjYjZjjjjjj@adj@	Alfacalcidol			non-CNS	400.644	6.8241	-5.596	6.8241	2	2	329.92	0.40281	0.83144	29	400 <= x < 425	CC(C)CCCC(C)C(CC1)C(C)(CCC2)C1/C2=C/C=C(\CC(CC1O)O)/C1=C	
eg`VL@@DLBFE@`BndfYo^UyefU|aassZyjjjjjj`ZBF@@@	Alfentanil	7.5		CNS	416.524	2.1214	-2.317	1.7651	9	0	327.01	0.59138	0.83603	30	400 <= x < 425	CCC(N(C1(COC)CCN(CCN2N=NN(CC)C2=O)CC1)c1ccccc1)=O	
fcohP@DZ]yHJCgdTRbRQTTrTVRRREJNV}Zjjj`B@Bj`a``@	Alfuzosin	7.3		non-CNS	389.454	1.0512	-3.779	0.7958	9	2	301.75	0.51156	0.82494	28	375 <= x < 400	CN(CCCNC(C1OCCC1)=O)c(nc(c1c2)N)nc1cc(OC)c2OC	
