Structure [idcode]	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	pValue	Ring Systems [idcode]	Ring Systems 3 [idcode]	Murcko Frequency	Row-ID	Neighbor Similarity SkelSpheres 88%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	SALI pValue/SkelSpheres	Smiles	
egd\DH@AKAmJ`IAIe[]nUUuVUhXDd|BrJNn`@iff`Bjjh``@@ !B@WHW]}k~_{]}aBnfw|uO@k_}MpC~kN\lFJ@ZhNVH_X`Bb@IH_X`B`BH@ox@mrHOz@@PAH@	=	1500	nM	IC50	0.27	14.36	9.53		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 49 (11), 3101-3115 (2006)	16722630		5.823908740944319	ekh\D@@BFN`BlbbbbRRRRRVJRbRDdTtBbRrvNZfZh@@Jjj`B@@@	ec`P@@@DjU[UvUYwUhxTtRjZzVvjjjjjjjjjjh@@	3.0	21	0.91964; 0.92849	2	23; 22	-0.7585592	0.056993946	6.3881; 0.8691	O=C(c1cc(cc(cc2)OCCN3CCCCC3)c2[nH]1)c1cc(cc(cc2)F)c2[nH]1	
eol\L@@BFI`BjdfYeUUU]uvUDdTtBbRrn^ZfZh@@Jjjj@H@@ !BD`@gvHKN\lFK}NtcB`FjCef\B{UHa}b@Hw@oz@b@IH__x@urH@c_|`Bw_X`B`BwHc|h@A@Dc|	=	1300	nM	IC50	0.26	14.10	8.37		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 49 (11), 3101-3115 (2006)	16722630		5.886056647693162	ekh\D@@BFN`BlbbbbRRRRRVJRbRDdTtBbRrvNZfZh@@Jjj`B@@@	ec`P@@@DjU[UvUYwUhxTtRjZzVvjjjjjjjjjjh@@	3.0	22	0.92527; 0.90529; 0.92849	3	24; 23; 21	-0.6993243	0.08397255	9.5297; 4.7638; 0.8691	COc1cc([nH]c(C(c2cc(cc(cc3)OCCN4CCCCC4)c3[nH]2)=O)c2)c2cc1	
egd\D@@BFA`JlbbbbRRRRTRZRTRPdbf`TVQQusTsU@@PUUU@D@@@ !BDa}b@C~ot{RLBsgKAbYpKmThAj`yS\BhBH_X`B`CWH`Bb@IH_X`B`BH@ox@mrHOz@@PAH@	=	700<NL>220	nM	IC50	0.28<NL>0.30	15.33<NL>16.58	10.07<NL>10.89	<NL>	Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 49 (11), 3101-3115 (2006)	16722630		6.337242168318426	ekh\D@@BFN`BlbbbbRRRRRVJRbRDdTtBbRrvNZfZh@@Jjj`B@@@	ec`P@@@DjU[UvUYwUhxTtRjZzVvjjjjjjjjjjh@@	3.0	23	0.91964; 0.90529	2	21; 22	-0.67118263	0.021176198	6.3881; 4.7638	Cc1cccc2c1cc(C(c1cc(cc(cc3)OCCN4CCCCC4)c3[nH]1)=O)[nH]2	
ehZQHH@LBMKDjaim`@aJYeUe{UY]Y~DLT\JFfV~Ah@@HbjijejhJ`@@ !BmwvH_[\Bg~H@oymwvw_Xa}bGvw@oyg~_{]}`Bw_Xa}mpJw@`U_eurH@ox@_zEG|x@bGvw@e}z@k\@`	=	30<NL>30<NL>30<NL>30<NL>398.11	nM	Ki				<NL><NL><NL><NL>other	Homo sapiens<NL><NL><NL><NL>	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 49 (3), 955-970 (2006)<NL>J. Med. Chem. 51 (24), 7898-7914 (2008)<NL>J. Med. Chem. 52 (9), 2629-2651 (2009)<NL>Bioorg. Med. Chem. Lett. 20 (15), 4709-4711 (2010)<NL>	16451062<NL>19035792<NL>19320489<NL>20573509<NL>		6.984548054753753	eolQHH@LBMKDjaim`@cIEEDdeDmLdeDleGACEGBaiekgj@@BHjjZiZ`j@@@	egdP@@@LdbbRRbQVbbRRjRgBdeePsWQuuUUUUUUUUUUT@@@	3.0	73	1; 1	2	184; 159	-0.74420565	0.37427697	0; 0	Cc1cc(Nc2nc(Sc(cc3)ccc3NC(C3CC3)=O)nc(N3CCN(C)CC3)c2)n[nH]1	
ehR^HL@IKFckgoc@IABPpdLbdLRTvfTTRvbRbRfDTrJVN^Aj`BIhBBZ```H@@@ !BCW}wx``]CX~lQ}}qCX|MSrqGWDMcu}qKD\`mhkPS@_@miwpHK[LatpGhBZm}{asT`~O|bBhMgH_Rb}lCH``	=	135	nM	IC50	0.28	15.08	5.86			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 18 (8), 2691-2695 (2008)	18362070		6.8696662315049934	fmoY@@DXct\pYEDeEDdeMhThdmku`u{M[U@@A@uA@A@@@	few@@@LdbbRRbTrJvTRTkJLEHyuUUUUUUUUT@@	3.0	147	0.91048; 0.93165; 0.91048; 0.93944	4	406; 157; 150; 148	-0.3847582	0.8459718	21.579; 26.763; 20.435; 0.51242	Cc(ccc(C(CCN1)=Nc2c1ncnc2N)c1)c1NC(Nc1cccc(C(F)(F)F)c1)=O	
e`\^HL@IKJmckgc@IABPpdLbdLRTvfTRTtrTRTpbbQTvuwuT@QM@DMPPPD@@@ !B[\OXgB]cRLIw}qc\~MK|pgoFMK{}qsB^@m`qGBiB@MhBvCD\JTL@f[TX|qKOg~H@l@ybOuH__x@b@H	=	145	nM	IC50	0.29	15.49	5.83			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 18 (8), 2691-2695 (2008)	18362070		6.838631997765024	fmoY@@DXct\pYEDeEDdeMhThdmku`u{M[U@@A@uA@A@@@	few@@@LdbbRRbTrJvTRTkJLEHyuUUUUUUUUT@@	3.0	148	0.89608; 0.95709; 0.89828; 0.91076; 0.93944	5	425; 157; 156; 149; 147	-0.44706628	0.83179104	1.5528; 43.352; 11.868; 14.223; 0.51242	Nc1ncnc(NCC2)c1N=C2c1cccc(NC(Nc2cccc(C(F)(F)F)c2)=O)c1	
fcy@@DXct\u`rJIJJIIJ[PiQISZ}XM^svuP@@PMPPPD@@@ !B`@{LI{IP`K[SV@qGBiB|[KP`CZ@mmMXtubLQpiPleC@IfuOvOLRSyb@K@NXc}RGw~@H`B	=	2696	nM	IC50	0.27	14.91	4.75			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 18 (8), 2691-2695 (2008)	18362070		5.569280112136717	fmoY@@DXct\pYEDeEDdeMhThdmku`u{M[U@@A@uA@A@@@	few@@@LdbbRRbTrJvTRTkJLEHyuUUUUUUUUT@@	3.0	149	0.89334; 0.8703; 0.91076	3	155; 146; 148	-0.50038147	0.8114782	24.869; 0.19539; 14.223	Nc1ncnc(NCC2)c1N=C2c1cccc(NC(Nc2ccccc2)=O)c1	
eeW^LD@BJFIKlQTlf`HbpHrJJIKJIQJJQZHsIjIKJIKL\^UCGPh|bpDEAP@lPUEUUUTAP@@ !Bg~w_Xa}g~w@oybGvw__ympK~_xa}`Bw_[]}b@K~_w~@O{~@Oy`BH_Xa}b@Jw@h`Bg~H_X`Bg~H_Xa}g~H_X`Bg~H_Xa}g~H_P	=	554<NL>3000<NL>3	nM	IC50				<NL><NL>		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Proc. Natl. Acad. Sci. U.S.A. 104 (1), 270-275 (2007)<NL>Proc. Natl. Acad. Sci. U.S.A. 104 (1), 270-275 (2007)<NL>Proc. Natl. Acad. Sci. U.S.A. 104 (50), 19936-19941 (2007)	17185414<NL>17185414<NL>18077425		5.926037404438144	e`R^@@@@LBJBeoldTTRQbbRRvtRVTRSGGbTVPtswpEAP@@AUUUTAP@@	e`RP@@@LdbbRRvRbRTVVaTRWBdfbUWPswuUUUUUUUUUUUP@@	3.0	158	1; 1	2	441; 277	-0.90205777	0.23046519	0; 0	CC(C)S(c(cccc1)c1Nc(nc(Nc(ccc(N(CC1)CCC1N1CCN(C)CC1)c1)c1OC)nc1)c1Cl)(=O)=O	
ehZQHH@LBMKDjaim`@aJYeUe{UY]Y~DLT\JFfV~Ah@@HbjijejhJ`@@ !BmwvH_[\Bg~H@oymwvw_Xa}bGvw@oyg~_{]}`Bw_Xa}mpJw@`U_eurH@ox@_zEG|x@bGvw@e}z@k\@`	=	30	nM	IC50						Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Proc. Natl. Acad. Sci. U.S.A. 104 (50), 19936-19941 (2007)	18077425		7.522878745280337	eolQHH@LBMKDjaim`@cIEEDdeDmLdeDleGACEGBaiekgj@@BHjjZiZ`j@@@	egdP@@@LdbbRRbQVbbRRjRgBdeePsWQuuUUUUUUUUUUT@@@	3.0	159	1; 1	2	184; 73	-0.778507	0.43305957	0; 0	Cc1cc(Nc2nc(Sc(cc3)ccc3NC(C3CC3)=O)nc(N3CCN(C)CC3)c2)n[nH]1	
ekhVHH@NIGOFmk@ICHhheECBiddeeDefEIM@hbjemhHIbej@Jjh``@@ !B@k]}mpC~_xBmpJw_Xa}mwvw@OxBmw~_[^SYyLXG~h_Y[]}mpJw@k]}mpK~@K]}mpJw@k]}mpH	=	3	nM	IC50						Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 52 (2), 278-292 (2009)	19113866		8.522878745280337	feoi@@DRTVXDfVYmUw]eV\MzsdyGMjdFB`@jj`H@@	fiw@@@LdbbRRlRRRVbRXKdkNbghzjjjjjjjjj@@	3.0	160	1; 1	2	409; 182	-0.7665884	0.6104282	0; 0	CN(CC1)CCN1c(cc1)cc2c1nc(C(C(Nc1cccc(F)c11)=O)=C1N)[nH]2	
ekhVHH@NIGOFmk@ICHhheECBiddeeDefEIM@hbjemhHIbej@Jjh``@@ !B@k]}mpC~_xBmpJw_Xa}mwvw@OxBmw~_[^SYyLXG~h_Y[]}mpJw@k]}mpK~@K]}mpJw@k]}mpH	=	3.6<NL>4.8<NL>0.64<NL>6.1<NL>5.2<NL>0.64<NL>6.1<NL>5.2<NL>3.6<NL>1.1<NL>4.8<NL>7.5	nM	Kd				<NL><NL><NL><NL><NL><NL><NL><NL><NL><NL><NL>	Homo sapiens<NL>Homo sapiens<NL>Homo sapiens<NL>Homo sapiens<NL>Homo sapiens<NL><NL><NL><NL><NL><NL><NL>	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)	18183025<NL>18183025<NL>18183025<NL>18183025<NL>18183025<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378		8.386510608076275	feoi@@DRTVXDfVYmUw]eV\MzsdyGMjdFB`@jj`H@@	fiw@@@LdbbRRlRRRVbRXKdkNbghzjjjjjjjjj@@	3.0	182	1; 1	2	409; 160	-0.7802064	0.61103624	0; 0	CN(CC1)CCN1c(cc1)cc2c1nc(C(C(Nc1cccc(F)c11)=O)=C1N)[nH]2	
ehZQHH@LBMKDjaim`@aJYeUe{UY]Y~DLT\JFfV~Ah@@HbjijejhJ`@@ !BmwvH_[\Bg~H@oymwvw_Xa}bGvw@oyg~_{]}`Bw_Xa}mpJw@`U_eurH@ox@_zEG|x@bGvw@e}z@k\@`	=	45<NL>4.3<NL>6.5<NL>14<NL>55<NL>6.5<NL>14<NL>55<NL>45<NL>4.8<NL>4.3<NL>130<NL>6.5	nM	Kd				<NL><NL><NL><NL><NL><NL><NL><NL><NL><NL><NL><NL>	Homo sapiens<NL>Homo sapiens<NL>Homo sapiens<NL>Homo sapiens<NL>Homo sapiens<NL><NL><NL><NL><NL><NL><NL><NL>Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 26 (1), 127-132 (2008)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>Nat. Biotechnol. 29 (11), 1046-1051 (2011)<NL>J. Med. Chem. 56 (20), 8032-8048 (2013)	18183025<NL>18183025<NL>18183025<NL>18183025<NL>18183025<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>22037378<NL>24044867		7.521877650512106	eolQHH@LBMKDjaim`@cIEEDdeDmLdeDleGACEGBaiekgj@@BHjjZiZ`j@@@	egdP@@@LdbbRRbQVbbRRjRgBdeePsWQuuUUUUUUUUUUT@@@	3.0	184	1; 1	2	73; 159	-0.8068693	0.3734438	0; 0	Cc1cc(Nc2nc(Sc(cc3)ccc3NC(C3CC3)=O)nc(N3CCN(C)CC3)c2)n[nH]1	
